tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
pUDOmvb5; 16.02.2020 01:00; Sion; Xamax; 1; 2; 6; 5
4AhkZvqC; 09.02.2020 22:00; St. Gallen; Servette; 1; 0; 7; 5
bXigYbbI; 09.02.2020 22:00; Thun; Lugano; 3; 2; 7; 12
hzkozLT5; 09.02.2020 22:00; Xamax; Luzern; 0; 1; 8; 4
xOjcXIDO; 09.02.2020 01:00; Young Boys; Sion; 1; 0; 9; 4
Euztd2jP; 09.02.2020 01:00; Zurich; Basel; 0; 4; 3; 3
rcq0eVaE; 02.02.2020 22:00; Basel; St. Gallen; 1; 2; 3; 1
WK0xxsag; 02.02.2020 22:00; Servette; Thun; 2; 0; 3; 0
ABaty1Ea; 02.02.2020 22:00; Sion; Zurich; 1; 1; 9; 2
OfcUw3Ut; 02.02.2020 01:00; Lugano; Xamax; 1; 1; 7; 5
2odYxNqm; 02.02.2020 01:00; Luzern; Young Boys; 2; 0; 3; 6
AwMDZmwe; 26.01.2020 22:00; St. Gallen; Lugano; 3; 1; 7; 2
x0hAY7h1; 26.01.2020 22:00; Thun; Sion; 2; 1; 3; 5
GjiEXR77; 26.01.2020 22:00; Young Boys; Basel; 2; 0; 1; 5
WnN9zUNl; 26.01.2020 01:00; Xamax; Servette; 1; 2; 5; 2
UguddBp8; 26.01.2020 01:00; Zurich; Luzern; 2; 3; 9; 3
AFwRrhG8; 15.12.2019 22:00; Lugano; Young Boys; 0; 0; 1; 7
vkrVsCVE; 15.12.2019 22:00; Luzern; Basel; 2; 1; 1; 5
04Wwtj0R; 15.12.2019 22:00; Sion; Xamax; 1; 1; 4; 6
IusZtWpL; 15.12.2019 01:00; Servette; Thun; 2; 1; 10; 2
xQN5yA8r; 15.12.2019 01:00; St. Gallen; Zurich; 1; 3; 10; 3
r3CUwrDq; 08.12.2019 22:00; Basel; Sion; 4; 0; 8; 1
GGAxxMsd; 08.12.2019 22:00; Thun; St. Gallen; 1; 4; 3; 5
WOvNqY02; 08.12.2019 22:00; Zurich; Servette; 0; 5; 5; 7
MgBYx2Sk; 08.12.2019 01:00; Xamax; Lugano; 1; 1; 2; 10
SjEtytc2; 08.12.2019 01:00; Young Boys; Luzern; 1; 0; 8; 5
YTxon653; 01.12.2019 22:00; Basel; Young Boys; 3; 0; 4; 8
GhSkoQK9; 01.12.2019 22:00; Lugano; Servette; 1; 0; 8; 7
UeWgppzG; 01.12.2019 22:00; Luzern; St. Gallen; 1; 4; 5; 5
