tag; date; Home Team; Guest Team; Home Score; Guest Score; Home Corners; Guest Corner
4IWyPWmG; 31.08.2019 21:00; Orebro; AFC Eskilstuna; 3; 1; 7; 5
AeXXPCY9; 31.08.2019 18:30; Elfsborg; Sirius; 1; 1; 11; 1
W4YTQhJ3; 31.08.2019 00:00; Helsingborg; Ostersunds; 2; 0; 7; 5
hbo2Cg4A; 27.08.2019 00:00; Falkenbergs; Hammarby; 0; 2; 5; 3
baUp4VBj; 27.08.2019 00:00; Goteborg; Kalmar; 4; 0; 5; 4
0OlAAXYM; 27.08.2019 00:00; Sundsvall; Elfsborg; 1; 2; 1; 0
pdQt5Bdp; 25.08.2019 22:30; Malmo FF; Djurgarden; 0; 1; 4; 2
jgHWRY3c; 25.08.2019 20:00; AFC Eskilstuna; Hacken; 0; 2; 0; 6
Wlp6BDJG; 25.08.2019 20:00; Norrkoping; Helsingborg; 5; 0; 4; 3
vFmE9ilT; 25.08.2019 20:00; Ostersunds; AIK; 1; 3; 0; 4
C2ISSEli; 24.08.2019 21:00; Sirius; Orebro; 3; 4; 4; 4
IRwjFeKi; 20.08.2019 00:00; Djurgarden; AFC Eskilstuna; 3; 0; 11; 0
6mAXdE4N; 20.08.2019 00:00; Elfsborg; Ostersunds; 4; 1; 5; 2
hp6TcfkH; 20.08.2019 00:00; Helsingborg; Goteborg; 1; 2; 5; 7
2Je3ihSp; 18.08.2019 22:30; Malmo FF; Falkenbergs; 5; 0; 2; 0
ClwfEFZc; 18.08.2019 20:00; AIK; Kalmar; 1; 2; 3; 1
0A9ydYJT; 18.08.2019 20:00; Orebro; Hacken; 1; 2; 5; 5
AZecDZl4; 18.08.2019 20:00; Sirius; Norrkoping; 0; 2; 5; 8
vyunGy5o; 17.08.2019 21:00; Hammarby; Sundsvall; 3; 0; 7; 5
O4IG0d5b; 13.08.2019 00:00; Goteborg; Falkenbergs; 1; 1; 6; 10
lnQ33bLu; 13.08.2019 00:00; Kalmar; Orebro; 1; 1; 1; 1
2kU72Izn; 11.08.2019 22:30; Hammarby; Helsingborg; 2; 1; 4; 0
YZkfqezO; 11.08.2019 22:30; Norrkoping; Elfsborg; 2; 0; 4; 2
ALGObzzB; 11.08.2019 20:00; AFC Eskilstuna; AIK; 2; 4; 4; 3
WUHKaGK4; 11.08.2019 20:00; Hacken; Malmo FF; 1; 1; 9; 4
CQlbrFkU; 10.08.2019 23:00; Sundsvall; Ostersunds; 1; 1; 7; 0
pEJC1xjh; 10.08.2019 21:00; Djurgarden; Sirius; 4; 0; 9; 2
4dwc77MD; 06.08.2019 00:00; Elfsborg; Djurgarden; 0; 1; 5; 9
tM0Qkuit; 06.08.2019 00:00; Orebro; Goteborg; 2; 2; 5; 4
x8dooH5B; 04.08.2019 22:30; Hacken; Sirius; 4; 1; 4; 8
WAgwmwya; 04.08.2019 20:00; Kalmar; Hammarby; 2; 2; 5; 4
Ae5Ula6n; 03.08.2019 23:00; Falkenbergs; Helsingborg; 1; 1; 2; 3
ln4YmJLh; 03.08.2019 21:00; Ostersunds; AFC Eskilstuna; 1; 2; 5; 3
jFhx8JeR; 30.07.2019 00:00; Elfsborg; Kalmar; 2; 1; 5; 2
xClY8atL; 30.07.2019 00:00; Helsingborg; Orebro; 1; 4; 4; 1
hb980yl1; 28.07.2019 22:30; Goteborg; Norrkoping; 0; 0; 2; 5
E7A41HYf; 28.07.2019 20:00; Djurgarden; Hacken; 2; 0; 5; 3
nov82cJl; 28.07.2019 20:00; Ostersunds; Malmo FF; 0; 0; 3; 11
0OCGbFID; 27.07.2019 23:00; AFC Eskilstuna; Hammarby; 1; 6; 8; 3
8fu43w4r; 27.07.2019 21:00; Falkenbergs; Sundsvall; 2; 0; 5; 2
nL8Cae37; 27.07.2019 21:00; Sirius; AIK; 0; 2; 3; 4
St7snxZ7; 23.07.2019 00:00; Hammarby; Elfsborg; 5; 2; 2; 3
6RIYmb4e; 23.07.2019 00:00; Kalmar; Djurgarden; 0; 1; 4; 3
0UFQkKZr; 21.07.2019 22:30; Norrkoping; Ostersunds; 3; 0; 6; 0
Gd0PALB8; 21.07.2019 20:00; Goteborg; AFC Eskilstuna; 1; 0; 6; 2
lj8wmIJ1; 21.07.2019 20:00; Malmo FF; Sirius; 1; 1; 16; 2
fiFUlvkk; 20.07.2019 23:00; Sundsvall; Hacken; 0; 1; 2; 7
fmaT9uRE; 20.07.2019 21:00; AIK; Helsingborg; 2; 0; 2; 5
bLTbf0RR; 20.07.2019 21:00; Orebro; Falkenbergs; 4; 0; 6; 1
SGemx15q; 16.07.2019 00:00; Helsingborg; Sirius; 1; 0; 3; 6
EXgezuzd; 16.07.2019 00:00; Sundsvall; Hammarby; 2; 3; 0; 4
fTWsbrS2; 14.07.2019 22:30; Djurgarden; Malmo FF; 1; 1; 6; 1
8Wznc2s9; 14.07.2019 20:00; Hacken; Orebro; 3; 0; 7; 3
hOhaZbk2; 14.07.2019 20:00; Ostersunds; Norrkoping; 2; 1; 2; 7
tpZgetCL; 13.07.2019 23:00; AFC Eskilstuna; Kalmar; 3; 1; 2; 15
2gzjdMdF; 13.07.2019 21:00; AIK; Elfsborg; 3; 0; 3; 3
67fiyLKk; 13.07.2019 21:00; Falkenbergs; Goteborg; 1; 1; 4; 3
MZIKtscS; 09.07.2019 00:00; AFC Eskilstuna; Djurgarden; 1; 1; 5; 9
S2GEN1jj; 09.07.2019 00:00; Elfsborg; Helsingborg; 1; 1; 4; 0
zJG8qqD9; 07.07.2019 20:00; Hammarby; Falkenbergs; 6; 2; 7; 2
QmZHML5d; 07.07.2019 20:00; Norrkoping; Hacken; 2; 1; 9; 5
IsM3pPc3; 07.07.2019 00:00; Malmo FF; Orebro; 2; 1; 8; 5
E9FCr3SF; 06.07.2019 21:00; Goteborg; Sundsvall; 2; 1; 7; 2
viNao5rc; 06.07.2019 20:00; Kalmar; AIK; 0; 1; 3; 4
8WEGsNsM; 06.07.2019 20:00; Sirius; Ostersunds; 1; 1; 5; 5
EezvU3DM; 02.07.2019 00:00; Djurgarden; Kalmar; 2; 0; 13; 4
rVvrTNSS; 02.07.2019 00:00; Hacken; Hammarby; 2; 0; 10; 7
vwrRW5T3; 30.06.2019 22:30; Norrkoping; Sirius; 0; 1; 7; 7
pvR9Osyp; 30.06.2019 20:00; AIK; Malmo FF; 0; 0; 2; 0
htnVVPrA; 30.06.2019 04:00; Sundsvall; AFC Eskilstuna; 0; 0; 5; 4
pGrNXoEc; 29.06.2019 23:00; Falkenbergs; Elfsborg; 2; 1; 4; 6
z5yzVqbG; 29.06.2019 21:00; Ostersunds; Goteborg; 0; 0; 6; 3
6PqJYRbi; 28.06.2019 23:00; Orebro; Helsingborg; 0; 1; 10; 3
GbekpyLH; 26.06.2019 00:00; AIK; Norrkoping; 0; 2; 4; 5
h2LkXENn; 02.06.2019 22:30; Helsingborg; Malmo FF; 0; 1; 8; 7
6XwrArMj; 02.06.2019 20:00; AFC Eskilstuna; Norrkoping; 0; 2; 4; 6
zoHASjxI; 02.06.2019 20:00; AIK; Hammarby; 2; 0; 6; 6
WhKgWYxg; 02.06.2019 20:00; Elfsborg; Hacken; 0; 0; 1; 12
0SOcVhha; 01.06.2019 23:00; Falkenbergs; Kalmar; 0; 0; 4; 4
vJN1UC75; 01.06.2019 23:00; Ostersunds; Sundsvall; 1; 1; 6; 5
MsD6TWMB; 01.06.2019 21:00; Goteborg; Orebro; 0; 1; 8; 2
StuvBO6p; 01.06.2019 21:00; Sirius; Djurgarden; 0; 2; 5; 2
rocsncj5; 29.05.2019 00:00; Malmo FF; Sundsvall; 2; 1; 9; 1
MsiyEiNO; 28.05.2019 00:00; Hammarby; Norrkoping; 2; 2; 3; 7
h2aKHZNa; 28.05.2019 00:00; Orebro; Sirius; 0; 2; 4; 1
QFcSFDhC; 26.05.2019 22:30; Kalmar; Elfsborg; 1; 1; 4; 1
zouJxy0P; 26.05.2019 20:00; Djurgarden; Ostersunds; 3; 1; 11; 2
vaeGIF8g; 25.05.2019 23:00; Helsingborg; Falkenbergs; 1; 1; 2; 6
AwWpYf8t; 25.05.2019 21:00; Hacken; Goteborg; 1; 2; 10; 5
rihXEX7I; 25.05.2019 21:00; Malmo FF; AFC Eskilstuna; 5; 0; 9; 1
nPbOGgw6; 25.05.2019 00:00; Sundsvall; AIK; 1; 1; 2; 2
0j5tPHVP; 21.05.2019 00:00; AIK; Falkenbergs; 2; 0; 4; 0
Ma6xQcGJ; 21.05.2019 00:00; Goteborg; Hammarby; 0; 0; 3; 6
YwQs4Gg0; 21.05.2019 00:00; Norrkoping; Sundsvall; 2; 0; 3; 2
CUOo3z96; 21.05.2019 00:00; Ostersunds; Orebro; 1; 3; 4; 6
KfSg1EwJ; 19.05.2019 22:30; Djurgarden; Elfsborg; 2; 0; 0; 7
6iOk2fOC; 19.05.2019 20:00; Malmo FF; Kalmar; 1; 0; 9; 1
Iq77Kyvs; 19.05.2019 20:00; Sirius; Hacken; 3; 4; 3; 4
dz6BJegm; 18.05.2019 21:00; AFC Eskilstuna; Helsingborg; 1; 1; 4; 5
rkXU6I9s; 17.05.2019 00:00; Goteborg; Malmo FF; 0; 0; 2; 3
nshfDKWD; 17.05.2019 00:00; Orebro; Norrkoping; 1; 2; 2; 6
bRbClyfD; 16.05.2019 00:00; Elfsborg; AFC Eskilstuna; 1; 0; 8; 3
QXjbCvnK; 16.05.2019 00:00; Falkenbergs; Djurgarden; 0; 3; 6; 4
xCWY5xPm; 16.05.2019 00:00; Hacken; Kalmar; 1; 0; 2; 7
Kz08kHv7; 16.05.2019 00:00; Helsingborg; AIK; 1; 3; 6; 3
G2Vx5dvf; 16.05.2019 00:00; Sirius; Sundsvall; 1; 0; 6; 2
8dt3Bb1Q; 15.05.2019 00:00; Hammarby; Ostersunds; 4; 0; 5; 3
0A1K0sm8; 14.05.2019 00:00; Norrkoping; Goteborg; 1; 2; 6; 3
je8igaur; 12.05.2019 22:30; Malmo FF; Elfsborg; 4; 1; 8; 3
O86aiwAf; 12.05.2019 20:00; Djurgarden; AIK; 0; 2; 3; 1
ED5Oa12E; 11.05.2019 23:00; Sundsvall; Orebro; 1; 2; 8; 4
xCA3jcP0; 11.05.2019 21:00; AFC Eskilstuna; Falkenbergs; 0; 0; 3; 8
nR3WcuXQ; 11.05.2019 21:00; Kalmar; Helsingborg; 1; 0; 11; 6
8z5SbLHK; 11.05.2019 18:30; Ostersunds; Hacken; 1; 1; 3; 9
Uo7ehJfl; 11.05.2019 00:00; Hammarby; Sirius; 2; 0; 3; 4
vqklblR9; 07.05.2019 00:00; Elfsborg; Norrkoping; 0; 0; 8; 4
0hjpaUB3; 07.05.2019 00:00; Helsingborg; Djurgarden; 1; 1; 1; 4
Y5lhc8tG; 05.05.2019 22:30; Orebro; Hammarby; 2; 3; 3; 10
UPVKutBr; 05.05.2019 20:00; Falkenbergs; Malmo FF; 1; 2; 3; 3
juKTwKue; 05.05.2019 20:00; Hacken; Sundsvall; 1; 0; 10; 4
ClLPv0Ql; 05.05.2019 20:00; Kalmar; Ostersunds; 1; 1; 11; 4
b5NyxbA7; 04.05.2019 21:00; Sirius; Goteborg; 2; 4; 2; 3
KEOXxve1; 04.05.2019 18:30; AIK; AFC Eskilstuna; 2; 1; 5; 4
jN8gx74j; 30.04.2019 00:00; Goteborg; AIK; 3; 0; 5; 4
6VUApVdA; 30.04.2019 00:00; Orebro; Kalmar; 1; 1; 0; 9
WxSMsTtT; 30.04.2019 00:00; Ostersunds; Helsingborg; 3; 0; 5; 8
hnTIr9RM; 30.04.2019 00:00; Sundsvall; Falkenbergs; 3; 1; 5; 8
pMTEqkCG; 28.04.2019 22:30; Norrkoping; Malmo FF; 1; 1; 3; 5
4Qdy1jsi; 28.04.2019 20:00; Hacken; AFC Eskilstuna; 3; 0; 10; 2
xK4kwmkp; 28.04.2019 20:00; Hammarby; Djurgarden; 2; 1; 4; 2
rHeu0Adc; 27.04.2019 21:00; Sirius; Elfsborg; 2; 4; 4; 2
jaIwnNGH; 26.04.2019 00:00; Helsingborg; Sundsvall; 1; 1; 5; 4
b57DuLgo; 26.04.2019 00:00; Kalmar; Goteborg; 1; 1; 4; 3
GtxbmXCi; 25.04.2019 23:45; Djurgarden; Norrkoping; 1; 1; 10; 4
O6u6oBs4; 25.04.2019 00:00; AFC Eskilstuna; Ostersunds; 0; 1; 7; 2
A3y2niSc; 25.04.2019 00:00; AIK; Hacken; 1; 0; 8; 1
2ZLsosWN; 25.04.2019 00:00; Elfsborg; Orebro; 4; 2; 4; 5
ddLop1oU; 25.04.2019 00:00; Falkenbergs; Sirius; 0; 0; 9; 6
xjwflDco; 25.04.2019 00:00; Malmo FF; Hammarby; 4; 1; 4; 4
0APQlPWb; 22.04.2019 20:00; Goteborg; Helsingborg; 3; 1; 2; 0
MJQMk5Hh; 21.04.2019 22:30; Hammarby; AFC Eskilstuna; 3; 1; 3; 6
